Enc. Variable 0,Enc. Variable 1,noise,SNR
-1.201208,-0.38343155,0,0
0.83407885,0.6822735,0,0
-0.6016278,-0.32686248,1,18
-0.53071797,1.7353354,0,0
0.9348633,-0.40942827,0,0
-1.3343046,-0.25610116,1,12
-0.0717655,0.55649185,0,0
-0.71483123,-0.4380936,0,0
-0.7565499,-0.27984855,0,0
-1.1414236,0.67258847,0,0
0.40677458,-0.6917791,1,-6
0.70165807,0.020442009,0,0
-0.82323986,0.5500852,0,0
-1.0507612,0.64040333,0,0
-0.7453273,-0.42301384,1,18
-0.4122172,1.5351919,1,6
0.9486987,0.89457744,0,0
-0.3265585,-0.45606276,1,6
-0.057633273,0.31437898,0,0
0.83631927,-0.3465958,0,0
0.95780766,0.19496046,1,12
0.91956043,0.009998709,0,0
-0.42756087,0.17312384,0,0
-0.709443,1.1466451,1,-6
-1.1128801,-0.33727336,0,0
-0.11138139,-0.41064563,1,0
0.52982354,-0.46197724,0,0
0.34304357,-0.026671931,0,0
-0.42266887,-0.43731958,1,6
-0.08948106,0.36067426,0,0
0.7884738,0.88450617,0,0
0.41329813,-0.36143023,0,0
-0.033460774,-0.84180295,1,0
1.0194294,-0.31502968,0,0
0.05558407,0.7048711,1,6
0.47223532,-0.5557041,1,18
0.4306516,-0.24946427,1,-6
-1.2606586,-0.34650582,0,0
-0.19173923,-0.40754324,1,12
0.66966355,0.29630184,0,0
-0.3424369,-1.871853,1,-6
0.018080538,-1.1175748,1,-6
0.6448164,0.28610188,0,0
0.69164044,0.845437,0,0
2.1237636,-0.2905884,1,12
0.3023328,-0.01951934,1,18
1.0456036,-0.77317625,1,18
0.50095505,1.2078046,1,-6
0.2927511,-0.08286085,0,0
-0.19116288,-0.19481826,1,12
0.50392336,-0.033580765,1,12
0.39101067,-0.2738686,0,0
-1.2692627,-0.3155409,0,0
-0.67618954,-0.3996217,1,24
-0.30424285,0.9723654,1,-6
0.84814763,0.43392396,1,6
0.83373964,-0.25805703,0,0
-0.8109659,0.3775144,0,0
-0.9761706,-0.48961878,1,18
0.81456923,-0.24285251,0,0
0.6556434,0.0047679655,0,0
-0.85314,-0.19782345,1,18
0.5618073,-0.19329156,0,0
1.3340997,-0.6357357,1,24
-0.45139587,0.7387638,1,6
1.5288054,-1.8076712,1,-6
0.9954012,-0.20177324,0,0
0.60988426,-0.06434938,0,0
0.9976334,0.6255093,0,0
0.5753853,-0.54014826,1,24
0.012415873,0.45035642,1,0
0.9085053,0.17539832,0,0
-0.13551265,-0.12179797,1,12
-1.0828589,0.3583703,1,6
0.7742063,-0.2611379,0,0
1.4958737,-1.1743652,1,18
-0.74160683,-0.08236453,1,24
0.8147309,0.21180618,0,0
-0.6728062,-0.38502055,0,0
-0.9162587,-1.0077999,0,0
0.4295048,-0.09741934,0,0
-0.084507145,0.14720628,1,18
-0.7539733,-0.69233334,0,0
-0.5323447,0.39045376,0,0
0.6908889,-0.17516178,1,12
-0.13817886,-0.4210426,1,-6
0.42673182,0.0046175495,0,0
0.40530467,1.4696183,1,-6
0.4599361,0.09502719,0,0
0.89749146,-0.14925805,0,0
0.38113278,0.081589565,0,0
-0.9711088,-0.8304496,1,18
0.4741782,0.039765894,0,0
-0.63448894,-0.45592558,1,12
0.5503103,0.20150915,0,0
-0.013051622,1.2294784,1,0
0.70561284,0.5159632,0,0
0.94663244,-0.1571696,0,0
-0.4744154,-0.49670997,1,18
0.9560525,0.06909132,0,0
0.35306263,0.40539432,0,0
1.2281464,-0.6261356,1,6
0.3269015,-0.285473,0,0
1.0209064,1.0846646,1,24
0.25763646,0.0062354505,1,24
1.1665423,-0.8795415,1,0
0.6833704,0.096942365,0,0
-0.70930386,-0.3539355,0,0
-0.2079628,0.2528383,0,0
0.9720525,0.09041679,0,0
1.0240012,1.0561106,1,12
0.10905653,-1.0698758,1,6
-0.7215611,0.47127387,1,12
-1.4126923,0.46796682,0,0
-1.4054444,0.49055886,1,24
-0.40980136,0.26852918,1,24
0.68843096,0.24705,0,0
2.1816728,0.403682,1,18
0.70233816,-0.4042434,0,0
0.14733319,1.2523134,1,6
-0.97225213,-0.43957117,0,0
-0.583411,1.5225897,0,0
0.6703025,-0.22035173,0,0
1.0681741,1.1471922,0,0
-0.5576839,1.6181275,1,-6
-0.19573417,-0.33930945,1,-6
0.9396968,0.46660134,0,0
-0.41424105,0.12063305,0,0
1.1526669,-0.18718597,0,0
0.27803025,-0.425241,0,0
-0.24462336,-0.21089855,1,-6
0.08261116,-1.0410393,1,-6
1.0887107,0.52658236,0,0
-0.10603409,0.14268297,1,12
0.4503133,-0.289676,1,6
0.7405697,0.763262,1,18
1.1874028,0.25350434,1,24
0.8061282,-0.19111383,0,0
0.5456593,-0.5111022,1,-6
-1.4441748,-0.25555772,0,0
-1.0692985,0.516507,1,0
1.3804221,0.39310724,0,0
-0.03932498,0.22624612,1,-6
-0.18289934,0.08686022,0,0
-1.1006644,0.19556543,0,0
-0.089350395,0.50425947,0,0
-0.22461614,-0.4887758,1,12
-0.96414995,-0.3203671,0,0
0.66780126,-0.5980344,1,12
-0.22025266,-0.012352517,1,18
-0.75999784,-0.4903644,0,0
1.0822388,0.87137026,1,18
0.5221914,1.6596996,1,-6
-0.26447463,0.37348396,0,0
-0.34321314,0.7457148,1,0
-0.25488982,-2.2198367,1,-6
0.19792038,-0.014616195,0,0
-0.20748593,1.6150228,1,0
0.99175966,0.62754476,0,0
-1.0027938,-0.46075204,0,0
0.33381483,-0.13648023,0,0
-0.80982196,-0.37288266,0,0
1.0627867,0.0769264,0,0
-0.9835815,-0.17755502,0,0
-0.14440225,0.33659625,0,0
-0.3069357,-1.2696987,1,-6
-0.25399762,-1.5238752,1,-6
0.6369308,0.49735853,0,0
0.7524101,0.80746144,1,24
-1.0095485,-0.19070253,0,0
0.9972437,0.870572,0,0
-0.050349217,-0.4896191,1,0
0.49022874,0.11103411,1,18
1.4057009,-0.0927404,0,0
0.7457536,-0.46991062,0,0
-1.6098987,0.5414859,0,0
0.052323125,1.4567269,1,-6
-0.2305671,0.105261795,0,0
-1.1392175,-0.3863879,0,0
0.23083586,-0.59542346,0,0
-0.65982556,1.7057798,1,12
-0.9151852,0.3885178,0,0
-0.016921505,-0.7086608,1,6
1.0695155,0.149659,0,0
0.04630946,0.030846845,1,12
0.33039373,-0.4153325,0,0
-0.03546466,-0.60198134,1,-6
1.2208004,0.029363722,1,24
-1.0827796,-0.39125085,0,0
0.13112044,0.2260209,1,18
0.40713903,-0.39372784,0,0
0.7341328,0.026720576,0,0
0.7599509,0.18763195,0,0
-0.08082828,0.13819312,0,0
0.31972602,-0.43645754,0,0
-0.15961315,0.19624597,0,0
0.76129997,0.299104,0,0
-1.2494395,0.55908936,0,0
-1.3469642,-0.28203925,0,0
-0.8950326,-0.05413139,1,24
0.057818662,-1.5991211,1,0
0.51411706,0.10199133,0,0
-1.0386729,-0.4434433,0,0
-0.22201557,0.34051389,0,0
